query,name,place_id,full_address,country,city,site,type,description,category,subtypes,rating,reviews,reviews_link,photo,range,email_1,email_2,email_3,instagram,website_title,website_description
"Boutique Hotel, Holbox , 77310",Aak Estudios Holbox - Self Check In,ChIJNyNQXoWNTY8RZvF1kPbNPPQ,"Av. Caracol entre Calle Caracol y Pulpo, 77310 Holbox, Q.R.",Mexico,Holbox,,Hotel,,hotels,Hotel,1.0,1,"https://search.google.com/local/reviews?placeid=ChIJNyNQXoWNTY8RZvF1kPbNPPQ&q=Boutique+Hotel,+Holbox+,+77310&authuser=0&hl=en&gl=MX",https://lh3.googleusercontent.com/gps-proxy/AMy85WJajB7BBe2AFr6cuciro-FvgYrV3Z7vnU5-XQ2KYTOWs8Sjz9nyUMpeBbnE9quRg2UtqvfEX_RsY3RJCrhv2wy-ZlnHom5icIkBlE8fzf0gt-ELFdv1XHnL86PC-djqzJiOaRTbUrD4tjqL2PtpPKfVVlaFZ3tQQ8TvLm8XnUaDyHUaQTQetj_eHw=w800-h500-k-no,,,,,,,
"Boutique Hotel, Holbox , 77310",ALCOBAS DEL MAR,ChIJ1V3LDHaSTY8RrorRSvx2no4,"C. P.º Kuka s/n, 77310 Holbox, Q.R.",Mexico,Holbox,http://alcobasdelmar.mxhotel.site/,Hotel,,hotels,Hotel,4.3,182,"https://search.google.com/local/reviews?placeid=ChIJ1V3LDHaSTY8RrorRSvx2no4&q=Boutique+Hotel,+Holbox+,+77310&authuser=0&hl=en&gl=MX",https://lh3.googleusercontent.com/gps-proxy/AMy85WJ_tfIlP-nGu9_FdWvqSFe4J8PZmbPKz0BquKyWWhuI_lPxfQfZyYTTdTSkwBwjmh-QA951fRYumiGNMumWqdPBm5yrx9bzpNP3DoEmv9oEHpDeSQWga_dFMYWWBI4-FA58nsrnxo9H-i0Er5wI8AR5ZkWsSrb3WsMyoPurPQEDnjtzBz_i2_Iy=w800-h500-k-no,,,,,,"ALCOBAS DEL MAR, Holbox Island. Booking Website","Book from $67 on the ALCOBAS DEL MAR website at Holbox Island, Mexico. Free cancellation! Call us today +52 1 55 2086 3505."
"Boutique Hotel, Holbox , 77310",Aldea Kuká - Holbox Eco Hotel Boutique,ChIJtTrbYnOSTY8RqKY5gx8ndPY,"C. P.º Kuka 5, Zona 001, 77310 Holbox, Q.R.",Mexico,Holbox,https://www.aldeakuka.mx/,Hotel,"Elegant, rustic-chic quarters in a posh beachfront boutique hotel with 2 restaurants, a spa & yoga.",hotels,Hotel,3.7,258,"https://search.google.com/local/reviews?placeid=ChIJtTrbYnOSTY8RqKY5gx8ndPY&q=Boutique+Hotel,+Holbox+,+77310&authuser=0&hl=en&gl=MX",https://lh3.googleusercontent.com/gps-proxy/AMy85WKZEPmfWy9vJDp5ivPJ0iOtKNyFiEM1MOs_qu8Uc8lodTknRGeouSKodrfYKsJl--BS8T15fH59N7Uv2bNLBvjljnShxtxCmkVaafMHYzIPKV1TQDNjq7Qvn6bBAS_XNN_ndnT-K6nKap74YTD5wtdf0A3VIlgjzqlLfoBYG3asHA2QmsleOHBu=w800-h500-k-no,,contacto@aldeakuka.mx,,,https://www.instagram.com/aldeakuka,Aldea Kuka – Hotel Boutique Holbox,
"Boutique Hotel, Holbox , 77310",Amaité Beach Hotel,ChIJ_7oARHUsTI8R4lA0667kN1w,"Avenida Benito Juárez playa s/n Isla de Holbox, 77310 Isla Holbox, Q.R.",Mexico,Isla Holbox,http://www.amaitehotelholbox.com/,Hotel,Simple rooms with balconies in a relaxed beachfront hotel featuring a yoga studio & a restaurant.,hotels,Hotel,4.2,378,"https://search.google.com/local/reviews?placeid=ChIJ_7oARHUsTI8R4lA0667kN1w&q=Boutique+Hotel,+Holbox+,+77310&authuser=0&hl=en&gl=MX",https://lh5.googleusercontent.com/p/AF1QipNyMxebJRL602bHWgqO6FC3WW1OErO6YVjrf9vZ=w800-h500-k-no,3 stars,info@amaitehotelholbox.com,,,,Amaité Beach Hotel,"Amaité Hotel with its restaurant on the beach, rooms decorated with local crafts, hammocks between palm trees, beach chairs and a wonderful terrace overlooking the sea where you can take one of our massages or practice Yoga, make this Hotel a special place in Holbox Island."
"Boutique Hotel, Holbox , 77310",Anicca Aldea,ChIJsyoxAPqNTY8Rvh01AFe81PU,"Calle Pulpo, Joaquin Coldwell esquina, Punta Coco, 77310 Holbox, Q.R.",Mexico,Holbox,https://www.aniccaaldea.com/,Hotel,,hotels,Hotel,5.0,9,"https://search.google.com/local/reviews?placeid=ChIJsyoxAPqNTY8Rvh01AFe81PU&q=Boutique+Hotel,+Holbox+,+77310&authuser=0&hl=en&gl=MX",https://lh5.googleusercontent.com/p/AF1QipMs58CJ4eEkpHxLxZ5_-9StkEG-I4ePgEI1MUZI=w800-h500-k-no,,ana@aniccaaldea.com,apoblette@gmail.com,,https://instagram.com/anicca_aldea,Anicca Aldea | Solo Adultos,"Hermoso Hotel Boutique con 7 habitaciones, y una casa de estilo rústico moderno. Un lugar hecho con detalle, cuidado y pasión para vivir y disfrutar la isla.
La alberca, los jardines y la palapa están diseñados para sentirse relajado y tranquilo. El salón de meditación y de yoga completa el espacio de bienestar y además podemos terminar el día con una película en nuestras noches de cine en pantalla grande.

Un lugar para estar en calma, disfrutar de la vida en la isla. A 3 minutos a pie de la tranquila playa y a 15 minutos a pie del centro."
"Boutique Hotel, Holbox , 77310",Aparthotel Onda Maya,ChIJkdj9ReSNTY8RLEMAiN70qHs,"C. Lisa entre Avenida Damero y Porfirio Díaz, 77310 Holbox, Q.R.",Mexico,Holbox,https://www.aparthotelondamaya.com/,Hotel,,hotels,Hotel,4.9,29,"https://search.google.com/local/reviews?placeid=ChIJkdj9ReSNTY8RLEMAiN70qHs&q=Boutique+Hotel,+Holbox+,+77310&authuser=0&hl=en&gl=MX",https://lh5.googleusercontent.com/p/AF1QipO7d7Z9TLXoJqI9JNEGMvgh7Ppm38ZgaYbzttrx=w800-h500-k-no,,booking@aparthotelondamaya.com,,,https://www.instagram.com/ondamayaholbox,APARTMENTS IN HOLBOX ISLAND | Aparthotel Onda Maya,Onda Maya is the new romantic Aparthotel Adults Only in Holbox Island that provides the comfort of fully-equipped apartments with hotel services
"Boutique Hotel, Holbox , 77310",Arte Sano Adults Only Hotel Holbox,ChIJAd-qg86TTY8RFkoXvVSOnnU,"Calle Chac-Chi, 77310 Holbox, Q.R.",Mexico,Holbox,,Hotel,,hotels,Hotel,4.6,83,"https://search.google.com/local/reviews?placeid=ChIJAd-qg86TTY8RFkoXvVSOnnU&q=Boutique+Hotel,+Holbox+,+77310&authuser=0&hl=en&gl=MX",https://lh5.googleusercontent.com/p/AF1QipMsMypwM3ady-ywZTwveOEj3zL3FTUVbwd2Tpza=w800-h500-k-no,,,,,,,
"Boutique Hotel, Holbox , 77310",Aruma Ka-ak,ChIJVePYIQ-TTY8Rrf_cnwo3IoI,"C. Hernán Cortés, 77310 Holbox, Q.R.",Mexico,Holbox,,Hotel,,hotels,Hotel,4.6,17,"https://search.google.com/local/reviews?placeid=ChIJVePYIQ-TTY8Rrf_cnwo3IoI&q=Boutique+Hotel,+Holbox+,+77310&authuser=0&hl=en&gl=MX",https://lh3.googleusercontent.com/gps-proxy/AMy85WJy9mAYajF3XVOWoWX9L-5lVSVJ5tquZYGjQwvZpg3EmiNajL70Ih9-LL2_gWG3Q9MZpimhxh4Vh8wsNCQDCrlvYJYiMLYt35tu6FNWaTB-vsRLF2uuHRkSNFa4UHFW1XlKW9l1yiUuGHq80wCyCvqaxwIv5LlPg3x219U8UiabbZeRPMw0XzPL=w800-h500-k-no,,,,,,,
"Boutique Hotel, Holbox , 77310","AWA Holbox, Hotel Boutique",ChIJjzdnUY6NTY8Ray7_bSSkiAs,"Paseo Carey Mza 0081, Zna 002, 77310 Holbox, Q.R.",Mexico,Holbox,,Hotel,,hotels,Hotel,4.5,55,"https://search.google.com/local/reviews?placeid=ChIJjzdnUY6NTY8Ray7_bSSkiAs&q=Boutique+Hotel,+Holbox+,+77310&authuser=0&hl=en&gl=MX",https://lh3.googleusercontent.com/gps-proxy/AMy85WK5KXNLrVXHyrblAVOurdEG7AYonuiL-IopHJtE4gmJ3m5-Guc3Se7s-8j7rlUX9aeoFGi9VYGdHHIX5XzaCO4TjloTycDY6zWxZK0VV5quDXo9DPccszbQ45np_rVrAPd01H-oKWV5C6v27A1AA5yviy6LbE-Q3nw4P1kjxyHb8zOBB6HaAXM=w800-h500-k-no,,,,,,,
"Boutique Hotel, Holbox , 77310",Balam ecocamping holbox,ChIJJ9G8RIWNTY8R6Rwle-d_7jc,"Av. Pedro Joaquín Coldwell, 77310 Holbox, Q.R.",Mexico,Holbox,,Hotel,,hotels,Hotel,4.5,142,"https://search.google.com/local/reviews?placeid=ChIJJ9G8RIWNTY8R6Rwle-d_7jc&q=Boutique+Hotel,+Holbox+,+77310&authuser=0&hl=en&gl=MX",https://lh3.googleusercontent.com/gps-proxy/AMy85WK3nSlVmO_BhfTclkw3uVpxIpsM5ur5xilV4Ry1Ge8qPFyEXL8VxtiJzcU-xG7Vmllq7qtJGUelhwP_JXij8PoVVu85mrxnfYVFkZavf4Vb_Hxh8qH-RMEJVzX8hcjzjiJDd7E0srd2JSk5zifeXt-Sv_9BF_Q-aFOL9S3kkzckclC8LCMHmye4=w800-h500-k-no,3 stars,,,,,,
"Boutique Hotel, Holbox , 77310",BALAM HolBox - Beach Zone,ChIJjXkjV3GTTY8RTXdFBxjjbXs,"Calle Tiburón Ballena entre Calle Geronimo de Aguilar y Calle Porfirio Diaz, 77310 Holbox, Q.R.",Mexico,Holbox,http://www.mayabholbox.com/,Hotel,,hotels,Hotel,2.8,52,"https://search.google.com/local/reviews?placeid=ChIJjXkjV3GTTY8RTXdFBxjjbXs&q=Boutique+Hotel,+Holbox+,+77310&authuser=0&hl=en&gl=MX",https://lh3.googleusercontent.com/gps-proxy/AMy85WLpUq_sX_j4Ch3OmmxrdSzVevWrsi3JmUzo9hWddhsZ_A_803zlOdFHz4pm35fFsqdqAve0eFn7tlikdSFd7im5pnqc27r3rTpt4yiTi5wmGo2FhLR5g-B1c98YfkopHABh1Tp3st5ZhCQ5i9cUqEGsMEttJA8s_OitOOpoLyVBkgwPpPPhyVYY=w800-h500-k-no,,adrianmrlsflrs@gmail.com,,,,Mayabholbox | Una nueva forma de vacacionar en Holbox,
"Boutique Hotel, Holbox , 77310",Beach Club Escape Holbox,ChIJWeO-j4qNTY8RstTKcGHcTEY,"Left of Casa Cat Ba at the beachside, Avenida Pedro Joaquin Codwell, Paseo Carney, P.º Carey entre Calle Canane y lisa, 77310 Holbox, Q.R.",Mexico,Holbox,https://travelrebels.com/mexico/isla-holbox/,Bar,,bars,"Bar, Restaurant",4.7,24,"https://search.google.com/local/reviews?placeid=ChIJWeO-j4qNTY8RstTKcGHcTEY&q=Boutique+Hotel,+Holbox+,+77310&authuser=0&hl=en&gl=MX",https://lh5.googleusercontent.com/p/AF1QipOKob3ENV9C7cY8k6V-9JSA7JjfMkqFQGhWMs1O=w800-h500-k-no,,marie-jeanne@reisjunk.nl,,,,Travelrebels.com - The Start of Your Next Adventure,Travel blog full of practical tips and inspiring ideas. From Itineraries to travel guides for visiting the most beautiful places on earth.
"Boutique Hotel, Holbox , 77310",Beach Front Hotel La Diosa Kali,ChIJMxS5JHWSTY8Rk0fmJNoNm6I,"Calle, P.º Carey 17, Isla, 77310 Holbox, Q.R.",Mexico,Holbox,http://www.hoteldiosakali.com/,Hotel,,hotels,Hotel,4.0,495,"https://search.google.com/local/reviews?placeid=ChIJMxS5JHWSTY8Rk0fmJNoNm6I&q=Boutique+Hotel,+Holbox+,+77310&authuser=0&hl=en&gl=MX",https://lh5.googleusercontent.com/p/AF1QipNgFisbaJcd_kSTw6TMzG5l5VErW_O85CJQXlvn=w800-h500-k-no,2 stars,ladiosareservaciones@gmail.com,,,https://www.instagram.com/diosakaliholbox,Hotel Diosa Kali,
"Boutique Hotel, Holbox , 77310",Beachfront Hotel La Palapa,ChIJSdXwoXWSTY8RDFgG-OucJ4Q,"Morelos 231, 77310 Holbox, Q.R.",Mexico,Holbox,https://www.hotellapalapa.com/,Hotel,Casual rooms in a polished beachfront hotel offering a restaurant & a rooftop deck.,hotels,Hotel,4.5,503,"https://search.google.com/local/reviews?placeid=ChIJSdXwoXWSTY8RDFgG-OucJ4Q&q=Boutique+Hotel,+Holbox+,+77310&authuser=0&hl=en&gl=MX",https://lh5.googleusercontent.com/p/AF1QipN4asSTu8OEDJ-h9hfxYmUMd-6KjPp8Om9ONhKO=w800-h500-k-no,3 stars,booking@hotellapalapa.com,informes@hotellapalapa.com,,https://www.instagram.com/hotellapalapa,"BEACHFRONT HOTEL LA PALAPA HOLBOX ISLAND MEXICO ~ Holbox Hotels, Hotels in Holbox, Holbox Island Hotels",Beachfront Hotel La Palapa enjoys a prime location on Holbox Island Mexico where the Caribbean Sea meets the calm water of the Gulf of Mexico
"Boutique Hotel, Holbox , 77310",Bhoga Boutique Hotel,ChIJX_rXyMCNTY8RqJMAfamg7JQ,"Av. Pedro Joaquin Coldwell, Callejón Ejidal, Mza 0102, Predio 013, Zona 02, 77310 Holbox, Q.R.",Mexico,Holbox,https://hotelbhogaholbox.com/,Hotel,,hotels,Hotel,4.3,59,"https://search.google.com/local/reviews?placeid=ChIJX_rXyMCNTY8RqJMAfamg7JQ&q=Boutique+Hotel,+Holbox+,+77310&authuser=0&hl=en&gl=MX",https://lh3.googleusercontent.com/gps-proxy/AMy85WJ0nJ0_FqrmONUP1jby8GN0eIYmHBFBt4mp3QfYaGAt_PaBq6SkbDjFyRxj3_yE_oRDSoi8DIvL2My4mDbSuOfM4CIEj0W5moXRFGtWisHDkFt7Pra2K9PAPGgRIkYaNrAi1ihuIIZl3n33N4tZQxa7QoyMf6uoFGA4cfOEIH5C1aHRdTm3KA1QAA=w800-h500-k-no,,bhogaboutiquehotel@gmail.com,,,https://www.instagram.com/bhogaboutiquehotel,"Bhoga Boutique Hotel - Isla Holbox, México",
"Boutique Hotel, Holbox , 77310",BLACK FLAMINGO,ChIJfZWb3d2TTY8R_VKmpVH8Bjs,"77310 Holbox, Quintana Roo",Mexico,Holbox,https://www.booking.com/Pulse-9X72Fi,Hotel,,hotels,"Hotel, Holiday apartment rental",3.7,20,"https://search.google.com/local/reviews?placeid=ChIJfZWb3d2TTY8R_VKmpVH8Bjs&q=Boutique+Hotel,+Holbox+,+77310&authuser=0&hl=en&gl=MX",https://lh5.googleusercontent.com/p/AF1QipPGwmfhGgLCB0lkyG3BDwUSFRq8rla0C9JEeJKi=w800-h500-k-no,,sahil.dua@booking.com,bas.schopman@booking.com,derek.hyland@booking.com,http://instagram.com/jdyounghotel&h=AT3cLcxiaH345GEvlB6DsyxqJmoDN2o79pU5DfTgTDgIp1uE3SKGNelyjEp4cw6o8BEnWDuBlCBtBGuvvdRNsbZ0xJRSNthkMAXY1b0X2htEV8Z1wa31G8lHiyQvI2YfCUiIzZioJ23IkQ,"La Era, Lario – Updated 2024 Prices","With free bikes and barbecue facilities, La Era is set in Lario and offers free WiFi. Some units feature a terrace and/or balcony."
"Boutique Hotel, Holbox , 77310",Blatha Tropical Rooms Holbox,ChIJaaq-MZKNTY8Rp7pmf9A9Fao,"GJ96+5H, 77310 Holbox, Q.R.",Mexico,Holbox,https://casablathaholbox.mxhotel.site/,Motel,,Motel,Motel,3.8,18,"https://search.google.com/local/reviews?placeid=ChIJaaq-MZKNTY8Rp7pmf9A9Fao&q=Boutique+Hotel,+Holbox+,+77310&authuser=0&hl=en&gl=MX",https://lh5.googleusercontent.com/p/AF1QipPQAA3kGmT1nBypaFCl3oDQSLEhCX2z_yHnGQtM=w800-h500-k-no,3 stars,hotel.contact.us@gmail.com,,,,"Blatha Tropical Rooms Holbox, Holbox Island | WebSite",Blatha Tropical Rooms Holbox features rooms with balconies and hammocks.
