query,name,site,subtypes,category,phone,full_address,city,rating,reviews_link,photos_count,photo,about,description,place_id,email_1,email_1_full_name,email_1_title,email_2,email_2_full_name,email_2_title,email_3,email_3_full_name,email_3_title,phone_1,phone_2,phone_3,facebook,instagram,linkedin,twitter,website_title,website_description,website_keywords
"Outdoor wedding venues with lodge, 95476, California, USA","Inn At Sonoma, A Four Sisters Inn",https://www.innatsonoma.com/,"Hotel, Bed & breakfast",Bed & breakfast,+1 707-939-1340,"630 Broadway, Sonoma, CA 95476",Sonoma,4.5,"https://search.google.com/local/reviews?placeid=ChIJ8QKThaiuhYARCCt1Doj3P6E&q=Outdoor+wedding+venues+with+lodge,+95476,+California,+USA&authuser=0&hl=en&gl=US",270.0,https://lh5.googleusercontent.com/p/AF1QipMavmbMfbZI5bFIUxhH8_WchhhzhMEOaEqvgyzI=w800-h500-k-no,"{""Other"": {""Free parking"": true, ""Free breakfast"": true, ""Free Wi-Fi"": true, ""Air-conditioned"": true, ""Star rating"": ""3 stars"", ""Check-out time"": ""11:00 AM"", ""Check-in time"": ""4:00 PM""}, ""Amenities"": {""Free Wi-Fi"": true, ""Free breakfast"": true}}","Quaint getaway with airy lodging, plus freebies like breakfast, wine & freshly baked cookies.",ChIJ8QKThaiuhYARCCt1Doj3P6E,innatsonoma@foursisters.com,,,,,,,,,,,,,,,,Sonoma B&B - Inn at Sonoma - Sonoma Valley Boutique Hotels,"Offering spacious comforts, the Inn at Sonoma is a boutique bed and breakfast located in the heart of Sonoma wine country, California.",
"Mountain lodges with event space, 94956, California, USA",Windsong Cottage,http://www.windsongcottage.com/,"Bed & breakfast, Cottage, Cottage rental",Bed & breakfast,+1 415-663-9695,"25 Mc Donald Ln, Point Reyes Station, CA 94956",Point Reyes Station,4.7,https://search.google.com/local/reviews?placeid=ChIJLQckhHXGhYARV6n-IbLqON8&q=*&authuser=0&hl=en&gl=US,30.0,https://lh5.googleusercontent.com/p/AF1QipOtpFc5V3vbqFmVoT1OYayoMiYf9vB1iwGxfEeq=w800-h500-k-no,"{""Other"": {""Free breakfast"": true, ""Free Wi-Fi"": true, ""Breakfast"": true, ""Wi-Fi"": true, ""Star rating"": null, ""Check-out time"": ""12:00 PM"", ""Check-in time"": ""3:00 PM""}, ""Amenities"": {""Free Wi-Fi"": true, ""Free breakfast"": true}}","Secluded yurt on scenic property with a kitchen, cable TV, Wi-Fi, a hot tub & continental breakfast.",ChIJLQckhHXGhYARV6n-IbLqON8,info@windsongcottage.com,,,,,,,,,,,,,,,,Point Reyes Accomodation | Windsong Guest Yurt Rental | United States,"Visit one of the Most Affordable and Unique Point Reyes Cottage Rentals in West Marin.  Romantic, Private Hot Tub, Kitchen, Cal king, Garden.  Make a Reservation Today at the Wonderful Windsong Cottage Point Reyes Yurt Lodging.",point Reyes rental
"Summer camp for rent , 95448, California, USA",Wildhaven Sonoma Glamping,https://www.wildhavensonoma.com/?utm_source=google,Campground,Campground,+1 707-283-7773,"2411 Alexander Valley Rd, Healdsburg, CA 95448",Healdsburg,4.7,"https://search.google.com/local/reviews?placeid=ChIJr8RBtmERhIAR1SkvI-PJIao&q=Summer+camp+for+rent+,+95448,+California,+USA&authuser=0&hl=en&gl=US",565.0,https://lh5.googleusercontent.com/p/AF1QipOIaVrmtEzaCVJyODfBgLTKLx0GVg3hWMFE_42a=w800-h500-k-no,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true, ""Wheelchair accessible restroom"": true}, ""Children"": {""Good for kids"": true}, ""Pets"": {""Dogs allowed"": true}, ""Other"": {""Free parking"": true, ""Free Wi-Fi"": true, ""Wi-Fi"": true, ""Star rating"": null, ""Check-out time"": ""11:00 AM"", ""Check-in time"": ""3:00 PM""}, ""Amenities"": {""Free Wi-Fi"": true}}",,ChIJr8RBtmERhIAR1SkvI-PJIao,info@wildhavensonoma.com,,,erick@wildhavensonoma.com,,,events@wildhavensonoma.com,,,7072837773,7072837773,7072837773,https://www.facebook.com/Wildhaven-Sonoma-RV-Park-107515367582162,https://www.instagram.com/wildhavensonoma,http://linkedin.com/company/wildhaven-sonoma,,Wildhaven Sonoma® - The Bay Area's top-rated glamping destination,"Wildhaven Sonoma® is the Bay Area's top-rated glamping destination, located
on the Russian River in the heart of Sonoma wine country. Experience our
tranquil setting in the famous Alexander Valley wine-growing region, and
enjoy our direct river access, private beaches, quiet nights, and mountain
views.",
"Summer camp for rent , 94507, California, USA",Lake Del Valle Family Campground,http://www.ebparks.org/parks/del_valle,Campground,Campground,+1 888-327-2757,"7000 Del Valle Rd, Livermore, CA 94550",Livermore,4.5,"https://search.google.com/local/reviews?placeid=ChIJY94S5WnZj4ARlY8BcSWJ6cc&q=Summer+camp+for+rent+,+94507,+California,+USA&authuser=0&hl=en&gl=US",289.0,https://lh5.googleusercontent.com/p/AF1QipOrVDH6YdRH_e_YZkN3WnIN3_NcQ60G0AADkgUJ=w800-h500-k-no,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}, ""Amenities"": {""Picnic tables"": true, ""Public restroom"": true}, ""Children"": {""Good for kids"": true}, ""Pets"": {""Dogs allowed"": true}}",,ChIJY94S5WnZj4ARlY8BcSWJ6cc,pferrario@ebparks.org,Paul Ferrario,Analyst,tanderson@ebparks.org,Timothy Anderson,Chief,jim.tallerico@ebparks.org,Jim Tallerico,Management Information Systems Directo,+1 510-544-2212,18883272757,15105442510,http://facebook.com/eastbayparks,https://www.instagram.com/ebrpd,http://www.linkedin.com/company/51832,http://twitter.com/ebrpd,Healthy Parks Healthy People | East Bay Parks,"73 parks. 125,000 acres. 1,250 miles of trails. 55 miles of shoreline. Serving Alameda and Contra Costa counties.",
"Summer camp for rent , 95497, California, USA",Gualala River Redwood Park,http://gualalapark.com/,"Campground, Hiking area, RV park",Campground,+1 707-884-3533,"46001 Gualala Rd, Gualala, CA 95445",Gualala,4.7,"https://search.google.com/local/reviews?placeid=ChIJK4Sdz0Y3gYARfA05m07rpX0&q=Summer+camp+for+rent+,+95497,+California,+USA&authuser=0&hl=en&gl=US",722.0,https://lh5.googleusercontent.com/p/AF1QipPMQdQmOpSL2z3_oonseL_U76mkZMLdIq54giPb=w800-h500-k-no,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}, ""Activities"": {""Hiking"": true}, ""Amenities"": {""Picnic tables"": true, ""Public restroom"": true, ""Slides"": true, ""Swings"": true}, ""Children"": {""Good for kids"": true, ""Kid-friendly hikes"": true, ""Playground"": true}, ""Pets"": {""Dogs allowed"": true}}",,ChIJK4Sdz0Y3gYARfA05m07rpX0,grrp@mcn.org,,,,,,,,,,,,,,,,,,
"Glamping sites with cabins, 95033, California, USA",Castle Rock Trail Camp,,Campground,Campground,,"Los Gatos, CA 95033",Los Gatos,4.6,"https://search.google.com/local/reviews?placeid=ChIJ417ja9tMjoARTzXwwhwZo50&q=Glamping+sites+with+cabins,+95033,+California,+USA&authuser=0&hl=en&gl=US",109.0,https://lh5.googleusercontent.com/p/AF1QipOKlsTCj_Co_7QeChwAvf62ENExCRCeJMiXjsbN=w800-h500-k-no,"{""Activities"": {""Hiking"": true}, ""Amenities"": {""Picnic tables"": true, ""Public restroom"": true}, ""Children"": {""Good for kids"": true, ""Kid-friendly hikes"": true}}",,ChIJ417ja9tMjoARTzXwwhwZo50,,,,,,,,,,,,,,,,,,,
"Glamping sites with cabins, 94611, California, USA",Girls’ Camp,,Campground,Campground,,"RRH9+6R, Oakland, CA 94611",Oakland,5.0,"https://search.google.com/local/reviews?placeid=ChIJC-D3MWiHj4ARkkHmNya2xmM&q=Glamping+sites+with+cabins,+94611,+California,+USA&authuser=0&hl=en&gl=US",2.0,https://lh5.googleusercontent.com/p/AF1QipOvyFeqCbn75oalYZHLvLTdMh4GvIT9B8Mabgzl=w800-h500-k-no,{},,ChIJC-D3MWiHj4ARkkHmNya2xmM,,,,,,,,,,,,,,,,,,,
"Glamping sites with cabins, 95497, California, USA",Skunk Creek Camp,,Campground,Campground,,"QWJ8+3M, Cloverdale, CA 95425",Cloverdale,5.0,"https://search.google.com/local/reviews?placeid=ChIJYeZ0ABZVgYARbTH-rWxIZ8w&q=Glamping+sites+with+cabins,+95497,+California,+USA&authuser=0&hl=en&gl=US",5.0,https://lh5.googleusercontent.com/p/AF1QipO9CbbtohHbpTjTBzb94mktei2dlebKe3YrFqbd=w800-h500-k-no,"{""Children"": {""Good for kids"": true}}",,ChIJYeZ0ABZVgYARbTH-rWxIZ8w,,,,,,,,,,,,,,,,,,,
"Cabin rentals with bunk beds, 94020, California, USA",China Flat Day Use Area,http://www.fs.usda.gov/recarea/stanislaus/recarea/%3Frecid%3D77789,Campground,Campground,+1 209-965-3434,"Pinecrest, CA 95364",Pinecrest,4.6,https://search.google.com/local/reviews?placeid=ChIJ57Puf8VLl4ARMEdsiruE1fE&q=*&authuser=0&hl=en&gl=US,20.0,https://lh5.googleusercontent.com/p/AF1QipPfDqXF4OEfwmyau4GR0sZpT_Z9Cb-3ighUioRV=w800-h500-k-no,"{""Activities"": {""Hiking"": true}, ""Children"": {""Good for kids"": true}}",,ChIJ57Puf8VLl4ARMEdsiruE1fE,f.beum@fs.usda.gov,Frank Beum,,jheider@fs.fed.us,Joan Heider,Manager,swetzsteon@fs.fed.us,Susan Wetzsteon,Business Management Assistant,19286358200,19366398501,16182537114,https://www.facebook.com/USForestService,https://www.instagram.com/u.s.forestservice,https://www.linkedin.com/company/usda-forest-service,https://twitter.com/forestservice,Home | US Forest Service,Celebrating Great Outdoors Month on the Continental Divide National Scenic Trail,
"Glamping sites with cabins, 94803, California, USA",Wildcat View Group Camp,http://www.ebparks.org/parks/tilden,Campground,Campground,+1 510-544-2747,"Pine Tree Trail, Berkeley, CA 94708",Berkeley,4.8,"https://search.google.com/local/reviews?placeid=ChIJM3Jy7ON7hYARHv93w9X-YjM&q=Glamping+sites+with+cabins,+94803,+California,+USA&authuser=0&hl=en&gl=US",1.0,https://lh5.googleusercontent.com/p/AF1QipMo89S1sBE63QnUcFEUifDkrgFwoFFZJKfVvUmh=w800-h500-k-no,"{""Children"": {""Good for kids"": true}}",,ChIJM3Jy7ON7hYARHv93w9X-YjM,pferrario@ebparks.org,Paul Ferrario,Analyst,tanderson@ebparks.org,Timothy Anderson,Chief,jim.tallerico@ebparks.org,Jim Tallerico,Management Information Systems Directo,+1 510-544-2212,18883272757,15105442510,http://facebook.com/eastbayparks,https://www.instagram.com/ebrpd,http://www.linkedin.com/company/51832,http://twitter.com/ebrpd,Healthy Parks Healthy People | East Bay Parks,"73 parks. 125,000 acres. 1,250 miles of trails. 55 miles of shoreline. Serving Alameda and Contra Costa counties.",
"Glamping sites with cabins, 94022, California, USA",Portola Redwoods State Park Campground,http://www.parks.ca.gov/?page_id=539,Campground,Campground,+1 650-948-9098,"Park Office, 9000 Portola State Park Rd, La Honda, CA 94020",La Honda,4.6,"https://search.google.com/local/reviews?placeid=ChIJfe-xxwOtj4ARsD_PWmhQ9AE&q=Glamping+sites+with+cabins,+94022,+California,+USA&authuser=0&hl=en&gl=US",351.0,https://lh5.googleusercontent.com/p/AF1QipPDdATnUy370JoCFN8mWTXGjiKQinkE7-Gmkikt=w800-h500-k-no,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}, ""Activities"": {""Hiking"": true}, ""Amenities"": {""Picnic tables"": true, ""Public restroom"": true}, ""Children"": {""Good for kids"": true, ""Kid-friendly hikes"": true}, ""Pets"": {""Dogs allowed"": true}}","Basic campground accommodating tents, RVs & trailers with access to redwood-forested trails.",ChIJfe-xxwOtj4ARsD_PWmhQ9AE,cfarmer@parks.ca.gov,c. farmer,Sergeant,howard.young@parks.ca.gov,howard young,Athletic Director,john.blascovich@parks.ca.gov,john blascovich,Vice President Operations And Global Procurement,+1 800-777-0369,14154560766,15308956144,https://www.facebook.com/columbiashp/,https://www.instagram.com/castateparkjobs,,https://twitter.com/CAStateParks,Contact Us,,
"Cabin rentals with bunk beds, 94901, California, USA",Mendocino Grove,https://mendocinogrove.com/,Campground,Campground,+1 707-880-7710,"9500, 9601 CA-1, Mendocino, CA 95460",Mendocino,4.7,"https://search.google.com/local/reviews?placeid=ChIJQSaucbOygYARm1AT86ANQ-M&q=Cabin+rentals+with+bunk+beds,+94901,+California,+USA&authuser=0&hl=en&gl=US",1069.0,https://lh5.googleusercontent.com/p/AF1QipNSRffaGTzG3x7mnigMuHnyAClSTzSh8NASooEL=w800-h500-k-no,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}, ""Activities"": {""Hiking"": true}, ""Children"": {""Good for kids"": true, ""Kid-friendly hikes"": true, ""Playground"": true}, ""Pets"": {""Dogs allowed"": true}, ""Other"": {""Free parking"": true, ""Free Wi-Fi"": true, ""Beach access"": true, ""Wi-Fi"": true, ""Star rating"": ""3 stars"", ""Check-out time"": ""11:00 AM"", ""Check-in time"": ""3:00 PM""}, ""Amenities"": {""Free Wi-Fi"": true}}","Campground featuring rental tents with fire rings & picnic tables, plus coffee, games & a bathhouse.",ChIJQSaucbOygYARm1AT86ANQ-M,info@mendocinogrove.com,,,press@mendocinogrove.com,,,,,,,,,https://www.facebook.com/Mendocino-Grove-1229467700507040/,http://instagram.com/mendocino_grove,,,Mendocino Grove,"Mendocino camping made comfy. Enjoy the luxury of camping without the
hassle of camp gear. Moments away from the town of Mendocino, with hundreds
of hikes and one big ocean. Book your Safari tent or Airstream today!",
